name,href,years,imdb_description,pg_rating,imdb_genre_tags,imdb_rating,num_votes,img_thumbnail,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords,is_anime
Game of Thrones,/title/tt0944947/,(2011–2019),"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",TV-MA,"Action, Adventure, Drama",9.2,2148311,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR2,0,67,98_AL_.jpg",1399.0,Game of Thrones,Game of Thrones,en,['US'],481.222,8.437,20934.0,2011-04-17,False,/7WUHnWGx5OO145IRxPDUkQSh4C7.jpg,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",Winter Is Coming,"Sci-Fi & Fantasy, Drama, Action & Adventure",HBO,"based on novel or book, kingdom, dragon, king, intrigue, fantasy world",0
Prison Break,/title/tt0455275/,(2005–2017),"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",TV-14,"Action, Crime, Drama",8.3,548267,"https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2288.0,Prison Break,Prison Break,en,['US'],214.045,8.087,4269.0,2005-08-29,False,/ux7OfhhrXO4FzJtuew18ShiBLq7.jpg,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.",Break in. Break out. Save your brother's life.,"Action & Adventure, Crime, Drama",FOX,"prison, prisoner, escape, brother, fugitive, conspiracy, wrongful imprisonment, ex-con, escaped prisoner, effects from the past",0
Vikings,/title/tt2306299/,(2013–2020),"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",TV-MA,"Action, Adventure, Drama",8.5,547494,"https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",44217.0,Vikings,Vikings,en,['CA'],367.352,8.079,6117.0,2013-03-03,False,/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",,"Action & Adventure, Drama, War & Politics","History, Amazon","scandinavia, viking, historical fiction, middle ages, norse mythology, historical drama, warrior, 8th century",0
The Boys,/title/tt1190634/,(2019– ),A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,TV-MA,"Action, Comedy, Crime",8.7,542317,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY98_CR5,0,67,98_AL_.jpg",76479.0,The Boys,The Boys,en,['US'],243.999,8.471,8214.0,2019-07-25,False,/ut4PhX7OP2l2oJhrIUYWnt9pnQU.jpg,A group of vigilantes known informally as The Boys set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,Never meet your heroes.,"Sci-Fi & Fantasy, Action & Adventure",Amazon,"superhero, gore, based on comic, revenge, nudity",0
The Mandalorian,/title/tt8111088/,(2019– ),"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",TV-14,"Action, Adventure, Fantasy",8.7,527088,"https://m.media-amazon.com/images/M/MV5BZjRlZDIyNDMtZjIwYi00YmJiLTg4NjMtODA2Mjc0YTBlNzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",82856.0,The Mandalorian,The Mandalorian,en,['US'],1346.745,8.487,8792.0,2019-11-12,False,/eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",Bounty hunting is a complicated profession.,"Sci-Fi & Fantasy, Action & Adventure, Drama",Disney+,"bounty hunter, space western, space opera, space exploration, star wars",0
The Witcher,/title/tt5180504/,(2019– ),"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",TV-MA,"Action, Adventure, Drama",8.1,513940,"https://m.media-amazon.com/images/M/MV5BN2FiOWU4YzYtMzZiOS00MzcyLTlkOGEtOTgwZmEwMzAxMzA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",71912.0,The Witcher,The Witcher,en,['US'],127.235,8.177,4601.0,2019-12-20,False,/7vjaCdMw15FEbXyLQTVa04URsPm.jpg,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",Destiny is a beast.,"Drama, Action & Adventure, Sci-Fi & Fantasy",Netflix,"monster, based on novel or book, magic, mutation, mutant, fantasy world, dark fantasy",0
Money Heist,/title/tt6468322/,(2017–2021),An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,TV-MA,"Action, Crime, Drama",8.2,491872,"https://m.media-amazon.com/images/M/MV5BODI0ZTljYTMtODQ1NC00NmI0LTk1YWUtN2FlNDM1MDExMDlhXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_UX67_CR0,0,67,98_AL_.jpg",71446.0,Money Heist,La Casa de Papel,es,['ES'],121.817,8.263,17462.0,2017-05-02,False,/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",The perfect robbery.,"Crime, Drama","Netflix, Antena 3","robbery, stockholm syndrome, spain, perfect crime, professor, heist, flashback, sexual tension, bank robbery, hostage situation, tunnel",0
Squid Game,/title/tt10919420/,(2021– ),"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.",TV-MA,"Action, Drama, Mystery",8.0,469810,"https://m.media-amazon.com/images/M/MV5BYWE3MDVkN2EtNjQ5MS00ZDQ4LTliNzYtMjc2YWMzMDEwMTA3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UX67_CR0,0,67,98_AL_.jpg",93405.0,Squid Game,오징어 게임,ko,['KR'],152.428,7.835,12540.0,2021-09-17,False,/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,"Hundreds of cash-strapped players accept a strange invitation to compete in children's gameswith high stakes. But, a tempting prize awaits the victor.",45.6 billion won is child's play.,"Action & Adventure, Mystery, Drama",Netflix,"secret organization, challenge, survival, fictional game show, cruelty, game, death match, prize, death game",0
Daredevil,/title/tt3322312/,(2015–2018),"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",TV-MA,"Action, Crime, Drama",8.6,450320,"https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",61889.0,Marvel's Daredevil,Marvel's Daredevil,en,['US'],76.71,8.2,3846.0,2015-04-10,False,/QWbPaDxiB6LW2LjASknzYBvjMj.jpg,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hells Kitchen as Daredevil.,Do not fear the dark. Become it.,"Crime, Drama, Action & Adventure",Netflix,"new york city, corruption, secret identity, superhero, secret organization, based on comic, vigilante, lawyer, blind, marvel cinematic universe (mcu)",0
Arrow,/title/tt2193021/,(2012–2020),"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",TV-14,"Action, Adventure, Crime",7.5,436286,"https://m.media-amazon.com/images/M/MV5BMTI0NTMwMDgtYTMzZC00YmJhLTg4NzMtMTc1NjI4MWY4NmQ4XkEyXkFqcGdeQXVyNTY3MTYzOTA@._V1_UY98_CR5,0,67,98_AL_.jpg",1412.0,Arrow,Arrow,en,['US'],160.592,6.772,5401.0,2012-10-10,False,/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",Heroes fall. Legends rise.,"Crime, Drama, Mystery, Action & Adventure",The CW,"superhero, based on comic, superhero team, masked vigilante",0
