imdb_href,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords
/title/tt0944947/,1399.0,Game of Thrones,Game of Thrones,en,['US'],491.877,8.437,20950.0,2011-04-17,False,/7WUHnWGx5OO145IRxPDUkQSh4C7.jpg,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",Winter Is Coming,"Sci-Fi & Fantasy, Drama, Action & Adventure",HBO,"based on novel or book, kingdom, dragon, king, intrigue, fantasy world"
/title/tt0455275/,2288.0,Prison Break,Prison Break,en,['US'],224.498,8.086,4270.0,2005-08-29,False,/ux7OfhhrXO4FzJtuew18ShiBLq7.jpg,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.",Break in. Break out. Save your brother's life.,"Action & Adventure, Crime, Drama",FOX,"prison, prisoner, escape, brother, fugitive, conspiracy, wrongful imprisonment, ex-con, escaped prisoner, effects from the past"
/title/tt2306299/,44217.0,Vikings,Vikings,en,['CA'],419.131,8.08,6122.0,2013-03-03,False,/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",,"Action & Adventure, Drama, War & Politics","History, Amazon","scandinavia, viking, historical fiction, middle ages, norse mythology, historical drama, warrior, 8th century"
/title/tt1190634/,76479.0,The Boys,The Boys,en,['US'],242.047,8.472,8219.0,2019-07-25,False,/ut4PhX7OP2l2oJhrIUYWnt9pnQU.jpg,A group of vigilantes known informally as The Boys set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,Never meet your heroes.,"Sci-Fi & Fantasy, Action & Adventure",Amazon,"superhero, gore, based on comic, revenge, nudity"
/title/tt8111088/,82856.0,The Mandalorian,The Mandalorian,en,['US'],1191.07,8.487,8807.0,2019-11-12,False,/eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",Bounty hunting is a complicated profession.,"Sci-Fi & Fantasy, Action & Adventure, Drama",Disney+,"bounty hunter, space western, space opera, space exploration"
/title/tt5180504/,71912.0,The Witcher,The Witcher,en,['US'],118.212,8.177,4602.0,2019-12-20,False,/7vjaCdMw15FEbXyLQTVa04URsPm.jpg,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",Destiny is a beast.,"Drama, Action & Adventure, Sci-Fi & Fantasy",Netflix,"monster, based on novel or book, magic, mutation, mutant, fantasy world, dark fantasy"
/title/tt6468322/,71446.0,Money Heist,La Casa de Papel,es,['ES'],123.408,8.263,17464.0,2017-05-02,False,/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",The perfect robbery.,"Crime, Drama","Netflix, Antena 3","robbery, stockholm syndrome, spain, perfect crime, professor, heist, flashback, sexual tension, bank robbery, hostage situation, tunnel"
/title/tt10919420/,93405.0,Squid Game,오징어 게임,ko,['KR'],142.016,7.835,12550.0,2021-09-17,False,/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,"Hundreds of cash-strapped players accept a strange invitation to compete in children's gameswith high stakes. But, a tempting prize awaits the victor.",45.6 billion won is child's play.,"Action & Adventure, Mystery, Drama",Netflix,"secret organization, challenge, survival, fictional game show, cruelty, game, death match, prize, death game"
/title/tt3322312/,61889.0,Marvel's Daredevil,Marvel's Daredevil,en,['US'],80.51,8.163,3850.0,2015-04-10,False,/QWbPaDxiB6LW2LjASknzYBvjMj.jpg,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hells Kitchen as Daredevil.,Do not fear the dark. Become it.,"Crime, Drama, Action & Adventure",Netflix,"new york city, corruption, secret identity, superhero, secret organization, based on comic, vigilante, lawyer, blind, marvel cinematic universe (mcu)"
/title/tt2193021/,1412.0,Arrow,Arrow,en,['US'],179.971,6.772,5405.0,2012-10-10,False,/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",Heroes fall. Legends rise.,"Crime, Drama, Mystery, Action & Adventure",The CW,"superhero, based on comic, superhero team, masked vigilante"
