name,href,tokenized_text
Game of Thrones,/title/tt0944947/,nine noble family fight control land westeros ancient enemy return dormant millennia tv tv tv tv tv tv tv tv tv tv action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama seven noble family fight control mythical land westeros friction house lead full scale war ancient evil awakens farthest north amidst war neglected military order misfits night watch stand realm men icy horror beyond winter coming base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world base novel book kingdom dragon king intrigue fantasy world
Prison Break,/title/tt0455275/,due political conspiracy innocent man send death row hope brother make mission deliberately get send prison order break inside tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama due political conspiracy innocent man send death row hope brother make mission deliberately get send prison order break inside break break save brother life prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past prison prisoner escape brother fugitive conspiracy wrongful imprisonment ex con escape prisoner effect past
Vikings,/title/tt2306299/,vikings transport us brutal mysterious world ragnar lothbrok viking warrior farmer yearn explore raid distant shore across ocean tv tv tv tv tv tv tv tv tv tv action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama adventure ragnar lothbrok great hero age series tell saga ragnar band viking brother family rise become king viking tribes well fearless warrior ragnar embody norse tradition devotion gods legend direct descendant odin god war warriors scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century scandinavia viking historical fiction middle ages norse mythology historical drama warrior 8th century
The Boys,/title/tt1190634/,group vigilante set take corrupt superheroes abuse superpowers tv tv tv tv tv tv tv tv tv tv action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime action comedy crime group vigilante know informally boys set take corrupt superheroes blue collar grit willingness fight dirty never meet heroes superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity superhero gore base comic revenge nudity
The Mandalorian,/title/tt8111088/,travel lone bounty hunter outer reach galaxy far authority new republic tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy fall galactic empire lawlessness spread throughout galaxy lone gunfighter make way outer reaches earn keep bounty hunter bounty hunting complicated profession bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars bounty hunter space western space opera space exploration star wars
The Witcher,/title/tt5180504/,geralt rivia solitary monster hunter struggle find place world people often prove wicked beasts tv tv tv tv tv tv tv tv tv tv action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama geralt rivia mutated monster hunter hire journey toward destiny turbulent world people often prove wicked beasts destiny beast monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy monster base novel book magic mutation mutant fantasy world dark fantasy
Money Heist,/title/tt6468322/,unusual group robber attempt carry perfect robbery spanish history steal 2 4 billion euro royal mint spain tv tv tv tv tv tv tv tv tv tv action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama carry big heist history mysterious man call professor recruit band eight robber single characteristic none anything lose five month seclusion memorizing every step every detail every probability culminate eleven day lock national coinage stamp factory spain surround police force dozen hostage power find whether suicide wager lead everything nothing perfect robbery robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel robbery stockholm syndrome spain perfect crime professor heist flashback sexual tension bank robbery hostage situation tunnel
Squid Game,/title/tt10919420/,hundreds cash strapped player accept strange invitation compete children games inside tempting prize awaits deadly high stakes survival game whopping 45 6 billion prize stake tv tv tv tv tv tv tv tv tv tv action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery action drama mystery hundreds cash strapped player accept strange invitation compete children gameswith high stakes tempting prize await victor 45 6 billion child play secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game secret organization challenge survival fictional game show cruelty game death match prize death game
Daredevil,/title/tt3322312/,blind lawyer day vigilante night matt murdock fight crime new york daredevil tv tv tv tv tv tv tv tv tv tv action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama lawyer day matt murdock use heightened sens blind young boy fight crime night street hells kitchen daredevil fear dark become new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu new york city corruption secret identity superhero secret organization base comic vigilante lawyer blind marvel cinematic universe mcu
Arrow,/title/tt2193021/,spoiled billionaire playboy oliver queen miss presume dead yacht lose sea return five year later change man determine clean city hooded vigilante arm bow tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime spoiled billionaire playboy oliver queen miss presume dead yacht lose sea return five year later change man determine clean city hooded vigilante arm bow heroes fall legends rise superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante superhero base comic superhero team mask vigilante
Attack on Titan,/title/tt2560140/,hometown destroy mother killed young eren jaeger vow cleanse earth giant humanoid titans bring humanity brink extinction tv tv tv tv tv tv tv tv tv tv animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure several hundred year ago human nearly exterminate titans titans typically several story tall seem intelligence devour human bad seem pleasure rather food source small percentage humanity survive wall city protect extremely high walls even tall big titans flash forward present city see titan 100 years teenage boy eren foster sister mikasa witness something horrific city wall destroy colossal titan appear thin air small titans flood city two kid watch horror mother eat alive eren vow murder every single titan take revenge mankind politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war politics dystopia giant monster coup etat base manga super power family tragedy devastation odds seinen shounen anime titans war
The Last of Us,/title/tt3581920/,global pandemic destroys civilization hardened survivor take charge 14 year old girl may humanity last hope tv tv tv tv tv tv tv tv tv tv action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama twenty year modern civilization destroyed joel hardened survivor hire smuggle ellie 14 year old girl oppressive quarantine zone start small job soon become brutal heartbreaking journey must traverse united states depend survival lose darkness look light people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror people smuggling post apocalyptic future infection survival epidemic base video game horror
The Flash,/title/tt3107288/,strike lightning barry allen wake coma discover give power super speed become flash fight crime central city tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama particle accelerator cause freak storm csi investigator barry allen strike lightning fall coma months later awaken power super speed grant ability move central city like unseen guardian angel though initially excite newfound powers barry shock discover meta human create wake accelerator explosion everyone use new power good barry partner r labs dedicate life protect innocent close friend associate know barry literally fast man alive long world learn barry allen become flash final run superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain superhero speed base comic super power mask superhero supervillain
WandaVision,/title/tt9140560/,blends style classic sitcom mcu wanda maximoff vision two super powered live ideal suburban live begin suspect everything seems tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama wanda maximoff visiontwo super powered live idealized suburban livesbegin suspect everything seems experience new vision reality superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu superhero supernatural base comic suburbia miniseries superhero team marvel cinematic universe mcu
