Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
angela,5.1,sonic,2.5,trek,5.9,choi,5.1,kim,7.8,gianni,1.5,sherlock,2.7,scooby,3.3,bundy,0.9,laverne,0.8,bleach,1.3,jinn,1.0,turtles,3.2,anime,46.2,hbo,18.0,chappelle,0.9,moonlight,1.0,morse,1.6,ghoul,3.1,nikita,1.6
gabriel,4.7,maniac,1.0,hirano,1.5,nominated,4.5,jung,6.2,conversations,1.3,holmes,1.2,doo,2.7,cheer,0.6,chant,0.1,kimetsu,0.6,banshee,0.7,jedi,2.3,netflix,38.4,fox,17.5,flux,0.8,flames,0.9,xena,0.9,arcadia,1.9,daria,1.0
maddie,4.6,cosby,0.9,enterprise,1.5,eun,4.2,soo,5.9,tapes,1.2,onofrio,1.0,crews,2.2,monkeys,0.6,pester,0.1,sneaky,0.6,zucker,0.6,jtbc,1.2,manga,35.0,alex,13.9,drafts,0.1,outpost,0.7,sesame,0.8,spartacus,1.3,kaori,0.9
paranormal,4.3,claudius,0.8,roddenberry,1.3,ceo,4.0,korean,5.8,glitch,1.0,happiness,0.9,maeda,1.5,cheerleading,0.4,jazzy,0.1,yaiba,0.4,martel,0.3,kgb,0.9,comedy,32.3,marvel,12.0,avant,0.1,dame,0.6,steed,0.7,gladiator,1.0,yamashita,0.1
maya,4.3,frasier,0.8,picard,1.3,gus,3.9,jin,5.2,steele,1.0,kazuya,0.7,jackass,1.3,leach,0.1,envious,0.1,cours,0.4,wordplay,0.1,skywalker,0.9,school,30.0,vampire,12.0,mart,0.1,monopoly,0.5,avengers,0.4,korra,0.9,monotone,0.1
beverly,4.2,challenger,0.7,straczynski,1.2,dexter,3.8,hee,5.1,conman,0.6,afro,0.6,shaggy,1.1,weaving,0.1,ram,0.1,cellmate,0.3,tragically,0.1,reactor,0.8,bbc,29.7,los,11.9,visibility,0.1,scam,0.5,disadvantage,0.1,poisoning,0.8,mechanics,0.1
cassie,4.1,serpent,0.6,voyager,1.2,stargate,3.6,min,5.1,ruined,0.3,fisk,0.5,madrid,1.0,sociopath,0.1,meek,0.1,festa,0.2,bloopers,0.1,sith,0.8,seasons,29.1,sam,11.7,acknowledged,0.1,undone,0.3,gown,0.1,terrace,0.8,identifiable,0.1
nypd,4.0,smiley,0.6,ewing,1.1,data,3.2,yoon,4.8,masquerade,0.2,daredevil,0.3,alf,1.0,laced,0.1,bills,0.1,tatsuya,0.1,incoming,0.1,obi,0.8,game,28.6,jane,11.4,futile,0.1,idols,0.3,outreach,0.1,yamashita,0.7,admires,0.1
flynn,3.8,alchemy,0.5,torchwood,0.9,dracula,3.2,hyun,4.6,unbelievable,0.2,sana,0.3,kimmy,0.8,vile,0.1,fabian,0.1,hen,0.1,universally,0.1,pharmacist,0.7,novel,27.7,supernatural,10.9,osbourne,0.1,exist,0.2,realising,0.1,hawley,0.7,pretentious,0.1
twilight,3.7,shuttle,0.4,tsubasa,0.9,hanna,3.2,lee,4.3,confess,0.2,melancholic,0.3,gon,0.7,zoller,0.1,mork,0.1,hirano,0.1,loot,0.1,birdman,0.7,voiced,27.7,angeles,10.7,garde,0.1,franchises,0.2,cupid,0.1,dunk,0.6,jaded,0.1
cartel,3.6,tails,0.4,murdoch,0.9,rush,3.0,joon,4.3,installment,0.2,pension,0.3,hailey,0.7,seitz,0.1,desirable,0.1,epitomize,0.1,imposing,0.1,mina,0.7,team,27.2,hospital,10.2,terrace,0.1,hoax,0.2,responds,0.1,lindy,0.6,sarcasm,0.1
cameron,3.6,significance,0.3,starfleet,0.9,nuclear,3.0,mcu,4.0,multitude,0.1,murdock,0.3,otsuka,0.6,reports,0.1,mckean,0.1,winged,0.1,uncovered,0.1,bachelor,0.7,man,26.1,metacritic,10.0,modeling,0.1,perpetrate,0.1,thaw,0.1,slam,0.6,employers,0.1
forensic,3.6,festa,0.2,kurtzman,0.8,lena,3.0,seo,3.9,deft,0.1,shocking,0.2,barbera,0.4,cheerlead,0.1,fictitious,0.1,unabashedly,0.1,assumed,0.1,darth,0.7,japanese,25.4,charlie,9.5,libbed,0.1,tip,0.1,procure,0.1,ghouls,0.4,sealed,0.1
crimes,3.5,cours,0.1,frakes,0.7,dong,2.8,yoo,3.8,unforgettable,0.1,terrible,0.2,weaving,0.4,stalking,0.1,edna,0.1,rapport,0.1,shatner,0.1,perrin,0.6,animation,25.0,kate,9.5,cellmate,0.1,undiscovered,0.1,formulate,0.1,lawless,0.2,cartoonish,0.1
lapd,3.5,engineers,0.1,spock,0.7,galaxy,2.8,jae,3.8,incomplete,0.1,flanders,0.1,reiss,0.4,boisterous,0.1,sonny,0.1,flowing,0.1,trapping,0.1,droid,0.6,million,24.3,consensus,9.2,inanimate,0.1,ariana,0.1,agreements,0.1,whim,0.1,loaded,0.1
queer,3.4,otsuka,0.1,hajime,0.7,barbera,2.8,woo,3.7,seventeen,0.1,quesada,0.1,faceless,0.3,deliberation,0.1,apartments,0.1,martindale,0.1,gunfire,0.1,moreau,0.6,music,24.3,tomatoes,9.2,snippet,0.1,plastic,0.1,faked,0.1,reiss,0.1,bernstein,0.1
titans,3.4,honya,0.1,starship,0.5,cage,2.8,tae,3.3,thread,0.1,cumberbatch,0.1,koichi,0.3,booster,0.1,puzzles,0.1,forcefully,0.1,hoon,0.1,fugitives,0.4,pilot,23.9,anthology,9.1,ads,0.1,paranormal,0.1,medal,0.1,kimetsu,0.1,hospitalized,0.1
henson,3.4,klingon,0.1,chiang,0.5,cha,2.8,yeon,3.3,astronomy,0.1,mcu,0.1,pup,0.2,mat,0.1,graduating,0.1,sleight,0.1,impostor,0.1,restaurateur,0.4,book,23.7,harry,9.0,armour,0.1,reflected,0.1,endeavour,0.1,weller,0.1,confidante,0.1
woody,3.3,heartbreak,0.1,klingon,0.5,hudson,2.8,kang,3.2,tin,0.1,jeph,0.1,unbreakable,0.2,cards,0.1,garry,0.1,livestream,0.1,faison,0.1,splinter,0.4,channel,23.6,recur,9.0,arsenio,0.1,laser,0.1,payroll,0.1,zreik,0.1,coldly,0.1
bonnie,3.3,heiress,0.1,ghosh,0.4,angels,2.7,joo,3.1,backward,0.1,feige,0.1,hanna,0.2,abduction,0.1,jigsaw,0.1,reunites,0.1,assert,0.1,wookieepedia,0.3,video,23.5,emma,9.0,scientifically,0.1,grande,0.1,modeling,0.1,hyun,0.1,relevance,0.1
tess,3.2,disorders,0.1,riker,0.2,peterson,2.7,kyung,2.9,bundy,0.1,correlate,0.1,mei,0.2,brands,0.1,sweater,0.1,understated,0.1,loom,0.1,pill,0.2,dvd,23.1,critics,9.0,symbolism,0.1,interspecies,0.1,mortuary,0.1,manu,0.1,highland,0.1
lynch,3.2,peel,0.1,federation,0.2,eliza,2.6,sang,2.8,weaving,0.1,zreik,0.1,curious,0.1,texan,0.1,recite,0.1,noh,0.1,successes,0.1,jinn,0.2,detective,22.7,medical,8.7,flop,0.1,levinson,0.1,rican,0.1,jinn,0.1,concerts,0.1
gina,3.2,whatsoever,0.1,ensign,0.2,vega,2.6,korea,2.7,imposter,0.1,defenders,0.1,laff,0.1,sideline,0.1,perky,0.1,margin,0.1,undertaker,0.1,wan,0.2,crime,22.5,approval,8.4,recess,0.1,shipwreck,0.1,loom,0.1,blowing,0.1,gives,0.1
ripper,3.2,manic,0.1,perrin,0.1,rhys,2.6,jang,2.5,kutcher,0.1,utility,0.1,perpetrator,0.1,fundraising,0.1,necessitate,0.1,npd,0.1,cloth,0.1,mace,0.2,version,22.3,rotten,8.4,wayward,0.1,stevie,0.1,revolver,0.1,paralyze,0.1,interrogator,0.1
fuller,3.2,hampshire,0.1,flames,0.1,billie,2.6,park,2.3,fondly,0.1,maki,0.1,angels,0.1,nationally,0.1,carmine,0.1,simplicity,0.1,incentives,0.1,southeastern,0.2,voice,21.9,daniel,8.3,vocabulary,0.1,pole,0.1,diabetes,0.1,yutaka,0.1,culminating,0.1
ward,3.1,conan,0.1,mcu,0.1,mehta,2.6,hye,2.3,greet,0.1,expenses,0.1,medina,0.1,balancing,0.1,eisner,0.1,fanbook,0.1,fried,0.1,jed,0.1,theme,21.8,luke,8.3,aborted,0.1,artfully,0.1,concussion,0.1,sosenkyo,0.1,steer,0.1
barnes,3.1,hysterical,0.1,madrid,0.1,foreign,2.6,transformers,2.3,massively,0.1,contents,0.1,yogi,0.1,conceit,0.1,substitution,0.1,deliciously,0.1,mir,0.1,maul,0.1,song,21.8,jason,8.2,ethnicity,0.1,kansas,0.1,institutional,0.1,frequents,0.1,fetched,0.1
spider,3.1,walrus,0.1,yeon,0.1,atlantis,2.5,jeong,2.2,metv,0.1,asylum,0.1,moreau,0.1,teammates,0.1,gloves,0.1,novelization,0.1,waterfront,0.1,poisoning,0.1,war,21.8,weighted,8.2,shouting,0.1,xena,0.1,veiled,0.1,kazuhiro,0.1,staton,0.1
conan,3.1,solid,0.1,bae,0.1,oregon,2.5,avengers,2.1,signed,0.1,literature,0.1,messick,0.1,inspirational,0.1,barbecue,0.1,mcgregor,0.1,georg,0.1,lanter,0.1,special,21.8,cia,8.2,bitch,0.1,literature,0.1,reused,0.1,gianni,0.1,inferno,0.1
brooklyn,3.1,rashad,0.1,ghouls,0.1,grim,2.5,seung,2.1,chips,0.1,lousy,0.1,cours,0.1,perfection,0.1,landlady,0.1,gaiden,0.1,coy,0.1,chiang,0.1,death,21.3,showrunner,8.1,sociopath,0.1,nfl,0.1,objectives,0.1,animelab,0.1,mug,0.1
