Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
comedy,31.4,spy,7.0,school,51.0,adventure,42.5,crime,56.2
series,25.3,vampire,6.3,high,26.8,world,41.1,police,37.3
television,20.3,terrorist,6.0,comedy,23.3,action,34.3,detective,37.0
family,19.7,cia,4.7,life,23.2,war,32.3,murder,35.1
music,15.6,fashion,4.6,family,22.2,base,28.5,mystery,25.1
reality,14.0,tokyo,4.4,romance,20.3,family,26.4,investigation,24.9
american,13.8,demon,4.4,friend,18.7,alien,26.4,criminal,19.7
new,13.3,ben,4.2,girl,17.8,life,25.3,killer,19.2
sitcom,13.1,hometown,4.0,student,17.7,story,24.8,new,16.4
talk,12.8,supernatural,3.9,love,16.5,history,24.3,case,15.7
documentary,12.8,agent,3.9,teen,16.3,space,23.6,serial,14.8
life,12.8,island,3.5,friendship,14.4,time,23.4,solve,14.6
game,12.6,paranormal,3.4,year,14.4,animation,23.3,thriller,13.7
episode,11.5,amazing,3.4,teenage,13.5,fantasy,23.2,town,13.4
star,11.4,demonic,3.3,animation,13.2,future,21.0,los,13.3
york,11.0,espionage,3.3,old,12.6,new,21.0,angeles,13.0
host,10.8,devil,3.3,boy,12.4,year,20.9,drug,12.6
air,10.8,camp,3.3,relationship,11.7,earth,20.3,family,12.5
competition,10.8,attack,3.2,sister,11.6,horror,19.7,york,12.4
season,9.9,fbi,3.1,young,11.4,century,19.3,california,12.3
city,9.8,game,2.9,hospital,11.1,fight,18.9,city,12.2
football,9.7,date,2.8,new,10.8,young,18.7,life,11.8
feature,9.5,possession,2.8,town,10.6,set,18.6,cop,11.6
late,8.9,thriller,2.7,best,10.5,man,18.4,true,11.5
news,8.8,foster,2.7,mother,10.4,series,18.4,base,11.3
sport,8.8,horror,2.6,college,10.0,evil,18.0,investigate,11.3
character,8.7,ryan,2.5,world,9.7,travel,17.6,team,11.2
live,8.4,conspiracy,2.5,friends,9.6,book,17.4,fbi,11.2
animation,8.4,dimension,2.5,come,9.4,secret,17.0,law,10.8
celebrity,8.3,phenomena,2.4,brother,9.4,power,16.7,series,10.6
