Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
competition,10.9,night,6.7,world,39.0,sketch,6.1,crime,12.9,martial,9.1,series,17.0,chef,2.4,superhero,11.2,lawyer,2.3,sport,10.3,history,7.1,serial,5.8,school,6.9,detective,31.0,treasure,3.0,family,5.6,talk,7.3,town,13.1,witch,3.9
reality,6.0,late,6.3,adventure,35.6,music,3.0,space,10.2,arts,7.1,vampire,14.2,restaurant,2.1,private,6.6,car,2.2,football,9.6,king,5.6,killer,5.3,new,6.3,crime,29.8,link,2.5,chicago,4.6,comedy,6.9,new,11.3,adventurer,2.7
compete,5.6,music,4.6,life,27.2,coast,2.9,agent,9.0,mythology,3.0,television,12.5,farm,1.7,crime,6.0,firm,2.0,comedy,8.2,actor,5.2,hotel,5.0,student,5.3,police,29.1,rebellion,1.5,park,4.1,guest,5.3,hospital,11.0,hip,2.7
win,4.1,jimmy,4.1,action,26.3,audience,2.7,story,7.7,academy,2.9,air,9.3,south,1.5,investigator,5.5,italy,1.6,family,8.1,hollywood,5.1,crime,4.0,york,5.1,murder,25.7,revival,1.4,class,3.5,host,5.3,life,9.9,grant,2.7
game,4.0,talk,3.7,alien,25.7,topic,2.4,fbi,7.7,gods,2.8,cartoon,8.6,classic,1.2,super,5.3,law,1.6,high,6.9,historical,5.0,true,3.6,college,4.9,family,25.2,journey,1.3,upper,3.3,comedian,5.2,small,9.6,wish,2.5
prize,3.5,zombie,3.3,animation,25.2,network,2.3,west,6.9,warrior,2.7,american,7.7,central,1.2,prison,5.1,courtroom,1.3,school,6.8,century,4.8,fashion,3.3,witch,3.9,school,24.7,changing,1.3,comedy,3.3,news,5.0,medical,8.6,war,2.5
judge,3.2,arthur,3.2,story,24.1,cbs,1.9,cia,6.9,chef,2.6,season,7.3,rebel,1.2,marvel,5.0,genetic,1.0,romance,5.9,british,4.5,rome,3.2,magical,3.8,life,19.0,knight,1.3,dysfunctional,3.2,politics,4.5,york,8.5,hop,2.3
emperor,3.1,host,3.1,base,24.0,cousin,1.9,true,6.6,art,2.6,animated,6.9,entrepreneur,1.1,action,4.9,brilliant,1.0,friend,5.6,royal,4.2,gangster,3.0,forever,3.8,investigation,16.4,trip,1.2,middle,3.0,game,4.4,comedy,8.2,magical,2.0
million,2.6,award,3.1,time,23.4,november,1.8,murder,6.4,mythical,2.1,episode,5.9,humorous,0.9,terrorist,4.9,awkward,0.9,life,5.5,intrigue,4.1,bos,2.7,high,3.2,comedy,16.3,road,1.1,african,2.6,celebrity,4.0,family,8.2,mystical,1.9
singer,2.4,band,2.9,fantasy,23.1,entertainment,1.8,history,6.1,fighting,2.1,hunter,5.7,jean,0.9,comic,4.6,commit,0.9,sports,5.2,queen,3.9,mike,2.7,teen,2.9,california,15.7,sam,1.0,sitcom,2.6,satire,3.6,father,8.0,christmas,1.8
princess,2.3,musical,2.8,horror,22.8,comedy,1.7,captain,6.1,god,2.0,produce,5.7,food,0.9,city,4.6,inspired,0.8,friendship,5.1,england,3.9,mafia,2.5,prestigious,2.9,los,15.6,richard,0.7,friends,2.5,political,3.5,world,7.9,stone,1.6
toy,2.2,family,2.7,series,20.5,educational,1.6,american,5.9,strong,2.0,superhero,5.4,france,0.8,victorian,4.3,charm,0.6,woman,4.5,documentary,3.9,resort,2.4,birth,2.8,angeles,15.3,prior,0.7,suburb,2.4,priest,3.4,city,7.6,republic,1.6
contestant,2.1,dance,2.6,human,19.8,block,1.5,century,5.6,tournament,2.0,animation,5.3,impossible,0.8,fight,4.2,theme,0.6,marriage,4.3,war,3.8,italian,2.2,teacher,2.8,high,14.1,michael,0.7,misadventure,2.3,church,3.3,year,7.3,land,1.6
