Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
astronomy,1.4,yeon,0.2,webtoon,2.7,comedy,180.3,gymnastics,0.7
improvised,1.2,kyung,0.2,webcomic,1.7,crime,134.6,molest,0.2
improvisation,0.9,chul,0.2,genetics,1.5,animation,120.2,culminates,0.2
improv,0.7,bok,0.2,hyun,1.1,adventure,105.1,beijing,0.2
improvisational,0.2,seon,0.2,joon,1.1,action,104.3,tryout,0.2
hawking,0.2,tae,0.2,yeon,1.0,romance,96.5,championships,0.2
stiles,0.2,astronomy,0.2,cha,1.0,mystery,83.9,undergone,0.2
horizons,0.2,hye,0.2,soo,0.9,fantasy,70.4,revitalize,0.2
spontaneous,0.2,pil,0.2,eun,0.9,thriller,61.2,ankle,0.2
skits,0.2,suk,0.2,jae,0.9,novel,60.1,teammates,0.2
cosmos,0.2,geun,0.2,tae,0.9,anime,57.1,boycott,0.2
comedian,0.2,hancinema,0.2,apps,0.8,documentary,55.9,bars,0.2
ostensibly,0.2,bae,0.2,zeitgeist,0.8,horror,53.9,spine,0.2
users,0.2,wook,0.2,kyung,0.8,sitcom,49.0,fracture,0.2
topics,0.2,woong,0.2,hee,0.7,book,47.8,hobbs,0.2
aisha,0.2,myung,0.2,seo,0.7,sci,46.2,stealing,0.2
likewise,0.2,moo,0.2,hye,0.7,miniseries,45.9,olympic,0.2
pluto,0.2,daum,0.2,myung,0.6,murder,42.7,perfection,0.2
disambiguation,0.2,heo,0.2,narcissist,0.6,school,42.2,olympics,0.2
celebrity,0.2,sik,0.2,benefits,0.6,detective,41.7,zee,0.2
planets,0.2,zeitgeist,0.2,accused,0.6,biography,41.4,loren,0.2
killers,0.2,institutional,0.2,yoon,0.5,investigation,40.5,probation,0.2
spacetime,0.2,hyun,0.2,wrongfully,0.5,police,40.0,exposed,0.2
suggestion,0.2,kst,0.2,wook,0.5,history,35.6,zane,0.2
skit,0.2,seung,0.2,seoul,0.5,superhero,35.3,training,0.2
contribution,0.2,pension,0.2,bae,0.5,supernatural,34.3,careers,0.2
universe,0.2,joon,0.2,bok,0.5,manga,33.9,turmoil,0.2
versions,0.2,seok,0.2,chul,0.5,alien,32.4,yeon,0.2
odyssey,0.2,gymnastics,0.2,hyeon,0.4,england,30.7,harder,0.2
game,0.2,byung,0.2,seung,0.4,war,30.3,kyung,0.2
