Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
comedy,170.3,romance,37.7,psychotherapist,1.7,halo,1.5,smuggling,0.9,ufo,2.9,mutilation,2.8,mcu,7.5,viking,2.5,astronomy,2.4,neo,5.3,ramsay,0.8,mermaid,2.5,nordic,4.0,filmmaking,1.6,startup,1.8,roswell,1.2,culinary,2.7,anime,52.6,arcadia,1.7
crime,134.5,lgbt,21.8,bake,1.3,jockey,1.1,empress,0.6,nypd,2.0,firefighter,2.2,marvel,5.2,nordic,1.7,cosmos,1.7,noir,3.3,reenactment,0.8,autobiography,1.4,noir,2.5,plantation,1.5,silicon,1.2,quebec,0.8,elves,2.1,manga,33.5,nye,1.1
animation,111.3,sport,21.1,camelot,0.9,cheerleading,1.0,austria,0.6,karate,1.8,paramedic,2.0,dinosaur,4.5,cannabis,1.1,turtles,1.6,naruto,1.8,tsubasa,0.8,charmed,1.3,sorcery,2.3,sas,1.3,manufacturing,0.8,improv,0.6,stargate,2.1,shounen,16.7,shaman,1.1
adventure,104.9,competition,15.5,tulsa,0.9,mork,0.8,lifeguard,0.5,renaissance,1.8,ghoul,1.6,cinematic,4.2,oil,1.0,ninja,1.3,stripper,1.8,ghostly,0.8,genocide,1.3,disorders,2.3,ottoman,1.3,narcissist,0.6,chainsaw,0.6,cooking,1.6,seinen,10.1,catastrophe,1.0
action,103.5,spy,14.3,bronx,0.8,booster,0.6,swimming,0.4,detection,1.4,genetics,1.4,extramarital,2.6,autobiographical,0.8,turtle,1.3,drag,1.8,evangelion,0.7,memoir,1.2,yakuza,2.0,gamer,1.0,postman,0.6,improvisation,0.5,puppetry,1.4,animation,8.4,docudrama,0.9
mystery,83.7,protagonist,11.7,cricket,0.8,continents,0.5,aristocracy,0.2,dojo,0.9,exorcist,1.1,spider,2.5,painting,0.8,mutant,0.7,parenting,1.1,poetry,0.7,laundering,1.0,dissociative,1.2,invention,1.0,messiah,0.5,improvised,0.5,atlantis,1.3,japanese,7.4,atheist,0.6
fantasy,70.3,lawyer,11.0,asteroid,0.7,environmentalism,0.5,estrangement,0.2,torchwood,0.8,brigade,1.1,prehistoric,2.4,norse,0.8,neurosurgeon,0.6,weasel,0.9,islam,0.6,cattle,1.0,mushroom,0.9,shen,0.7,prophet,0.4,norse,0.5,nashville,1.2,tragedy,7.2,malaysia,0.6
thriller,61.0,gay,10.8,bisexuality,0.6,homelessness,0.5,catholicism,0.2,eastenders,0.8,glitch,0.9,morgue,2.1,daria,0.6,ferb,0.6,jackass,0.8,nightmares,0.5,ewing,0.9,schizophrenia,0.9,eureka,0.7,simulation,0.3,felon,0.4,muppets,1.2,japan,7.0,institutional,0.5
novel,59.9,school,10.6,hipster,0.6,benefits,0.5,englishman,0.2,zeitgeist,0.7,massage,0.8,telenovela,1.8,eddy,0.6,phineas,0.5,apps,0.8,flux,0.5,ranch,0.8,atomic,0.7,spartacus,0.7,mizuno,0.1,salvation,0.4,cuisine,1.0,cyberpunk,6.5,grotesque,0.5
romance,58.7,sports,10.2,oklahoma,0.5,wildlife,0.5,gon,0.2,lying,0.7,xena,0.7,jedi,1.6,nobility,0.6,recess,0.5,graffiti,0.7,dickinson,0.5,bosch,0.8,hamptons,0.7,gladiator,0.7,blowing,0.1,symbolism,0.4,chef,0.9,terrorism,6.4,hms,0.5
