Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
comedy,79.9,fantasy,47.5,comedy,81.4,action,61.3,crime,119.0
romance,69.1,novel,27.5,animation,81.1,adventure,54.7,mystery,53.9
family,51.6,book,27.4,adventure,45.1,animation,45.2,thriller,45.6
sitcom,40.0,history,26.5,documentary,29.6,anime,44.2,police,44.5
school,32.2,historical,25.8,music,29.0,base,38.8,investigation,42.6
relationship,28.6,base,22.2,short,26.8,sci,38.5,murder,41.8
california,27.5,horror,21.7,talk,25.9,alien,35.3,detective,38.9
friendship,25.7,romance,21.7,action,25.2,space,27.9,documentary,30.0
teen,20.6,century,20.7,family,25.0,game,27.1,biography,29.5
high,20.5,war,20.4,sport,24.4,fantasy,26.9,miniseries,29.2
love,18.9,supernatural,18.3,cartoon,20.2,horror,26.4,base,28.3
new,16.6,period,17.4,superhero,17.0,manga,25.1,true,28.0
york,16.4,miniseries,16.8,satire,16.5,super,23.4,action,26.1
los,16.1,adventure,16.1,adult,14.2,power,22.5,criminal,25.6
angeles,16.0,family,14.2,sports,11.4,future,21.8,novel,19.1
lgbt,15.5,england,13.4,reality,10.8,superhero,20.6,history,19.1
city,15.0,world,12.4,series,9.3,comic,20.4,book,18.4
relationships,13.7,paranormal,11.5,football,9.2,competition,18.9,killer,18.2
life,12.8,costume,10.6,late,9.1,travel,18.4,story,17.4
female,12.6,comedy,10.5,sketch,9.0,supernatural,18.1,spy,15.6
mystery,12.2,power,10.4,night,9.0,shounen,16.9,agent,15.2
adult,12.1,action,9.7,parody,8.4,reality,16.6,secret,15.0
crime,12.0,magic,9.6,opera,8.4,anthology,16.3,serial,14.3
child,11.9,ghost,9.3,dog,8.3,post,16.3,fbi,13.6
young,11.7,vampire,9.1,news,8.0,time,15.9,politics,13.6
mother,11.4,witch,8.4,musical,8.0,world,14.3,conspiracy,12.2
workplace,10.8,biography,8.2,mockumentary,7.8,survival,14.1,england,12.2
town,10.7,love,7.9,movie,7.5,martial,13.6,drug,12.0
dysfunctional,10.6,intrigue,7.2,slice,7.5,arts,13.2,usa,11.6
small,10.4,king,7.1,base,7.4,apocalyptic,12.8,city,11.3
