Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
politics,9.5,alien,17.9,horror,27.1,sport,23.9,space,32.5,horror,14.4,san,6.6,nypd,4.1,comedy,63.7,animation,29.1,comedy,43.3,book,17.0,reality,33.1,noir,8.2,talk,25.4,history,31.3,short,20.5,crime,21.1,crime,81.4,florida,7.3
universe,8.4,documentary,14.1,anthology,18.8,sports,9.6,adventure,32.4,supernatural,12.8,francisco,6.0,disease,2.9,romance,54.4,action,26.3,family,41.8,fantasy,16.5,game,22.3,prison,6.5,comedy,24.9,biography,22.7,spy,16.4,thriller,21.0,mystery,48.3,miami,4.2
usa,7.6,sci,10.5,mystery,13.6,football,9.1,animation,32.1,witch,12.3,costume,4.5,machine,2.2,base,38.1,anime,23.0,sitcom,32.7,novel,16.4,school,20.8,nordic,6.1,california,19.6,historical,12.6,animation,9.9,drug,8.5,murder,36.4,hotel,3.8
news,7.4,invasion,7.9,fbi,11.9,texas,6.3,comedy,20.9,fantasy,11.2,miss,4.0,viral,2.0,animation,37.3,adventure,22.2,york,23.0,adventure,15.9,competition,18.0,relationship,6.1,los,15.2,post,12.2,action,7.9,police,8.1,thriller,34.0,religion,1.7
cinematic,7.0,robot,7.8,fantasy,11.5,mutant,6.3,action,16.7,paranormal,9.6,person,3.8,loved,1.3,action,35.8,manga,16.9,city,19.6,historical,14.1,anime,15.6,crime,5.4,angeles,15.2,war,11.1,apocalypse,7.1,drugs,7.8,investigation,30.9,irish,1.7
mcu,6.9,technology,6.1,crime,9.8,superhero,6.2,travel,15.6,vampire,8.5,period,3.7,personality,1.2,fantasy,32.5,shounen,14.7,new,18.5,base,13.8,comedy,15.1,daughter,5.0,music,10.9,miniseries,9.9,zombie,7.1,undercover,7.0,police,28.6,bar,1.1
marvel,6.9,race,5.8,vampire,7.8,documentary,5.6,alien,14.7,werewolf,6.9,england,2.6,virus,1.2,adventure,31.9,martial,13.5,workplace,13.6,century,10.9,animation,13.6,father,4.8,night,8.5,apocalyptic,9.5,agent,6.7,military,6.9,detective,27.8,organize,1.1
political,6.0,nature,5.4,investigation,7.6,team,5.5,sci,12.6,ghost,6.1,countryside,2.3,education,1.0,school,27.1,arts,13.1,music,13.0,miniseries,10.0,romance,12.5,neo,4.6,late,8.4,period,8.8,cartoon,6.1,rape,6.8,true,27.0,brother,1.0
president,4.9,artificial,5.4,town,7.1,water,5.2,cartoon,11.3,loss,5.5,lesbian,2.2,immortality,1.0,teen,23.6,base,10.7,romance,12.9,action,9.1,video,12.4,single,4.3,gay,8.1,future,8.3,secret,5.7,nazi,6.0,base,23.3,aftermath,0.9
educational,4.5,scientist,5.3,england,6.6,soccer,5.1,planet,11.1,surrealism,5.0,resistance,2.2,cross,1.0,superhero,22.8,superhero,7.8,relationships,10.6,hospital,8.6,musical,10.7,mother,4.1,celebrity,7.9,documentary,8.3,espionage,5.2,war,5.4,documentary,22.0,inspire,0.9
washington,3.3,computer,5.2,small,6.2,fish,5.0,western,10.7,phenomena,4.9,romance,1.9,lovers,1.0,power,22.5,super,7.5,relationship,10.2,period,8.5,high,10.4,prisoner,3.8,family,6.4,century,6.5,adventure,5.1,dealer,5.1,killer,17.4,list,0.8
comic,2.9,intelligence,4.8,supernatural,6.2,comic,3.6,family,10.0,dark,4.4,medium,1.8,heart,0.7,adult,22.2,power,6.9,satire,9.1,history,8.4,life,9.5,gangster,3.7,romance,5.5,england,6.4,cat,4.6,action,5.1,story,16.6,transfer,0.7
scenes,2.7,animal,4.7,sci,5.8,adventure,3.6,time,9.7,novel,4.0,coma,1.7,adults,0.6,family,21.3,japan,6.8,sketch,8.5,medical,8.4,slice,8.6,female,2.9,dog,5.1,royal,6.0,survival,4.5,criminal,5.0,miniseries,15.9,twin,0.6
superhero,2.6,astronaut,4.0,forensic,5.7,action,3.4,private,9.4,demon,3.8,castle,1.5,survival,0.5,love,20.9,demon,6.5,dysfunctional,8.4,sword,8.3,manga,7.8,alcoholic,2.6,aspire,4.7,intrigue,5.2,comedy,4.4,mystery,4.9,conspiracy,15.3,scientific,0.6
journalist,2.3,future,3.9,police,5.4,twin,3.1,opera,8.3,depression,3.7,princess,1.4,question,0.5,friendship,20.4,supernatural,5.7,sibling,8.1,island,8.0,tragedy,7.5,horse,2.6,sexual,4.6,queen,4.9,consultant,3.9,navy,4.6,novel,14.8,widower,0.6
satire,2.2,android,3.9,london,5.1,oil,2.9,investigator,7.1,haunt,3.7,class,1.4,north,0.4,comic,19.6,tournament,5.6,chicago,7.4,magic,7.3,adventure,7.1,parent,2.3,hollywood,4.6,british,4.0,post,3.8,outlaw,4.5,book,14.5,study,0.6
toy,1.8,extraterrestrial,3.8,criminal,5.0,foster,2.7,west,6.9,house,3.7,marriage,1.0,star,0.3,novel,19.4,magic,5.0,mockumentary,7.3,mythology,6.4,base,7.1,private,2.1,friendship,4.3,empire,3.9,wall,3.8,murder,4.4,biography,14.5,canada,0.5
entertainment,1.7,remake,3.5,base,4.8,usa,2.5,series,6.4,book,3.7,century,0.9,fail,0.2,super,17.6,seinen,4.8,illinois,7.1,doctor,6.4,documentary,7.0,child,2.1,animation,4.2,rome,3.9,police,3.8,gang,4.3,criminal,14.3,actors,0.4
white,1.2,car,3.3,detective,4.7,origin,2.4,war,6.0,mental,3.6,wake,0.8,famous,0.2,high,16.8,anthropomorphism,4.0,class,6.3,war,6.3,fashion,6.6,baby,1.9,child,4.2,palace,3.8,procedural,3.6,dramedy,4.2,serial,13.7,wish,0.4
television,1.2,miniseries,3.2,sheriff,4.6,lord,2.0,american,6.0,magic,3.5,shift,0.8,continue,0.2,young,16.0,swordplay,3.1,middle,4.4,king,6.3,teacher,5.9,abuse,1.9,culture,4.1,east,3.6,dog,3.4,detective,4.2,action,11.7,church,0.3
